accession,dataset,condition,life_stage,description,fastq_files,sequencing_type
SRR458462,PRJNA158021,DI_72h,Embryo,Diapause inducing, 72-78h post-oviposition, replicate 1,SRR458462_1.fastq.gz;SRR458462_2.fastq.gz,paired-end
SRR458463,PRJNA158021,DI_135h,Embryo,Diapause inducing, 135-141h post-oviposition, replicate 1,SRR458463_1.fastq.gz;SRR458463_2.fastq.gz,paired-end
SRR458464,PRJNA158021,NDI_72h,Embryo,Non-diapause inducing, 72-78h post-oviposition, replicate 1,SRR458464_1.fastq.gz;SRR458464_2.fastq.gz,paired-end
SRR458465,PRJNA158021,NDI_135h,Embryo,Non-diapause inducing, 135-141h post-oviposition, replicate 1,SRR458465_1.fastq.gz;SRR458465_2.fastq.gz,paired-end
SRR458466,PRJNA158021,DI_72h,Embryo,Diapause inducing, 72-78h post-oviposition, replicate 2,SRR458466_1.fastq.gz;SRR458466_2.fastq.gz,paired-end
SRR458467,PRJNA158021,DI_135h,Embryo,Diapause inducing, 135-141h post-oviposition, replicate 2,SRR458467_1.fastq.gz;SRR458467_2.fastq.gz,paired-end
SRR458468,PRJNA158021,NDI_72h,Embryo,Non-diapause inducing, 72-78h post-oviposition, replicate 2,SRR458468_1.fastq.gz;SRR458468_2.fastq.gz,paired-end
SRR458469,PRJNA158021,NDI_135h,Embryo,Non-diapause inducing, 135-141h post-oviposition, replicate 2,SRR458469_1.fastq.gz;SRR458469_2.fastq.gz,paired-end
SRR458470,PRJNA158021,DI_72h,Embryo,Diapause inducing, 72-78h post-oviposition, replicate 3,SRR458470_1.fastq.gz;SRR458470_2.fastq.gz,paired-end
SRR458471,PRJNA158021,DI_135h,Embryo,Diapause inducing, 135-141h post-oviposition, replicate 3,SRR458471_1.fastq.gz;SRR458471_2.fastq.gz,paired-end
SRR458472,PRJNA158021,NDI_72h,Embryo,Non-diapause inducing, 72-78h post-oviposition, replicate 3,SRR458472_1.fastq.gz;SRR458472_2.fastq.gz,paired-end
SRR458473,PRJNA158021,NDI_135h,Embryo,Non-diapause inducing, 135-141h post-oviposition, replicate 3,SRR458473_1.fastq.gz;SRR458473_2.fastq.gz,paired-end
